mp3_title	youtube_title	used_query	youtube_url
Christina Perri - A Thousand Years (Lyrics)(MP3_160K)	Natalie Taylor - Surrender (Official Video)	Christina Perri - A Thousand Years (Lyrics)(MP3_160K)	https://www.youtube.com/watch?v=caoP4dj2oro
Clean Bandit - Rockabye (Lyrics) feat. Sean Paul _ Anne-Marie(MP3_160K)	Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video]	Clean Bandit - Rockabye (Lyrics) feat. Sean Paul _ Anne-Marie(MP3_160K)	https://www.youtube.com/watch?v=papuvlVeZg8
Confess Your Love - Laufey (Lyrics) ｜ From The Start	Laufey - From The Start (Official Music Video)	Confess Your Love - Laufey (Lyrics) ｜ From The Start	https://www.youtube.com/watch?v=lSD_L-xic9o
Creepy Nuts - Loss Time (Call Of The Night OST)	Creepy Nuts - Mirage (Official Music Video) [OP Theme to Call of the Night Season 2]	Creepy Nuts - Loss Time (Call Of The Night OST)	https://www.youtube.com/watch?v=ce6yxES9oLA
DAN DA DAN Opening _ Otonoke by Creepy Nuts(MP3_160K)	Creepy Nuts｢Otonoke｣ × Anime"DAN DA DAN" Collaboration Music Video	DAN DA DAN Opening _ Otonoke by Creepy Nuts(MP3_160K)	https://www.youtube.com/watch?v=Pz04moVKyHY
DANDADAN Season 2 - Opening FULL On The Way by AiNA THE END (Lyrics) - 128	[Chart Review] AiNA THE END - On The Way 「Dandadan Season 2 Opening Full」	DANDADAN Season 2 - Opening FULL On The Way by AiNA THE END - 128	https://www.youtube.com/watch?v=UdRJibcFKKU
DARLING in the FRANXX Opening 1 _ KISS OF DEATH	Darling in the FranXX - OP / Opening 1 (KISS OF DEATH) | UHD | Creditless | Subtitles	DARLING in the FRANXX Opening 1 _ KISS OF DEATH	https://www.youtube.com/watch?v=b6eaBqI7YrI
DIA DELÍCIA (Slowed) - 128	𝐃𝐈𝐀 𝐃𝐄𝐋𝐈𝐂𝐈𝐀 (𝐔𝐋𝐓𝐑𝐀 𝐒𝐋𝐎𝐖𝐄𝐃 + 𝐑𝐄𝐕𝐄𝐑𝐁)	DIA DELÍCIA (Slowed) - 128	https://www.youtube.com/watch?v=QkGLKPVvbek
Demon Slayer - Opening 1 _ 4K _ 60FPS _ Creditless _(M4A_128K)	Demon Slayer - Opening 1 | 4K | 60FPS | Creditless |	Demon Slayer - Opening 1 60FPS Creditless	https://www.youtube.com/watch?v=YkJvHe3KK2c
Demon Slayer - Opening 4 _ 4K _ 60FPS _ Tv-Size(M4A_128K)	「Kizuna no Kiseki」Demon Slayer Season   Opening 4  ｜ TV  Size  ｜ 4K ｜ 60FPS ｜	Demon Slayer - Opening 4 60FPS Tv-Size	https://www.youtube.com/watch?v=VH-CpccaurQ
Despacito (Slowed   Reverb) - Luis Fonsi - Daddy Yankee ft. Justin Bieber _ English Lofi Song(MP3_160K)	Akon - Belly Dancer (Arif Zeynalov Remix)	Despacito (Slowed Reverb) - Luis Fonsi - Daddy Yankee ft. Justin Bieber _ English Lofi Song(MP3_160K)	https://www.youtube.com/watch?v=fRb1hIXTPZI
Deyale Deyale (দেয়ালে দেয়ালে) [ Lofi Remix ] Minar Rahman _ Deyale Deyale  Lofi _ Diary Of Heart(MP3_160K)	Mon Vuila | মন ভুইলা | Porshi | ZooEL Morshed | Tanjib Sarowar | Official Music Video | Bangla Song	Deyale Deyale (দেয়ালে দেয়ালে) [ Lofi Remix ] Minar Rahman _ Deyale Deyale Lofi _ Diary Of Heart(MP3_160K)	https://www.youtube.com/watch?v=3aisyELzt4s
Ed Sheeran - Shape Of You (Lyrics)(MP3_160K)	Shape Of You X Nashe Si Chadh Gayi X Rockabye X Enna Sona _ Dj Harshal _ Xeroz (3)	Ed Sheeran - Shape Of You (Lyrics)(MP3_160K)	https://www.youtube.com/watch?v=a1JgNuFveNs
Ei Obelay (Lyrics) _ Shironamhin _ এই অবেলায় _ Sheikh Ishtiaque _ Lyrics Video(M4A_128K)	Shironamhin - Ei Obelay (Official Music Video)	Ei Obelay Shironamhin এই অবেলায় Sheikh Ishtiaque	https://www.youtube.com/watch?v=6cfjJexnuDk
Ek Guccho Kodom Hathe - Lofi - Blue Jeans - Kodom(এক গুচ্ছ কদম হাতে) - Bangla Lofi(MP3_160K)	Ek Guccho Kodom Hathe - Lofi - Blue Jeans - Kodom(এক গুচ্ছ কদম হাতে) - Bangla Lofi	Ek Guccho Kodom Hathe - Lofi - Blue Jeans - Kodom - Bangla Lofi	https://www.youtube.com/watch?v=_dWEyHt510o
